title,sub_title,description,sac_code,rate
Supporting services in transport,Supporting services for railway transport ,Railway pushing or towing services,SAC 996731,18
Supporting services in transport,Storage and warehousing services ,Bulk liquid or gas storage services,SAC 996722,18
Supporting services in transport,Storage and warehousing services ,Other storage and warehousing services,SAC 996729,18
Supporting services in transport,Storage and warehousing services ,Refrigerated storage services,SAC 996721,18
Supporting services in transport,Cargo handling services ,Other cargo and baggage handling services,SAC 996719,18
Supporting services in transport,Cargo handling services ,Clearing and forwarding services,SAC 996713,18
Supporting services in transport,Cargo handling services ,Customs House Agent services,SAC 996712,18
Financial and related services,Services auxillary to insurance and pensions ,Insurance claims adjustment services,SAC 997162,18
Financial and related services,Services of holding financial assets ,Services of holding securities and other assets of trusts and funds and similar financial entities,SAC 997172,18
Financial and related services,Services auxillary to insurance and pensions ,Pension fund management services,SAC 997164,18
Financial and related services,Services auxillary to insurance and pensions ,Actuarial services,SAC 997163,18
Supporting services in transport,Cargo handling services ,Container handling services,SAC 996711,18
Financial and related services,Services of holding financial assets ,Services of holding equity of subsidiary companies,SAC 997171,18
Financial and related services,Services auxillary to insurance and pensions ,Other services auxiliary to insurance and pensions,SAC 997169,18
Financial and related services,Services auxillary to insurance and pensions ,Insurance brokerage and agency services,SAC 997161,18
Financial and related services,Services auxiliary to financial services (other than to insurance and pensions) ,Foreign exchange services,SAC 997157,18
Financial and related services,Services auxiliary to financial services (other than to insurance and pensions) ,Other services auxiliary to financial services,SAC 997159,18
Financial and related services,Services auxiliary to financial services (other than to insurance and pensions) ,Trust and custody services,SAC 997154,18
Financial and related services,Services auxiliary to financial services (other than to insurance and pensions) ,Portfolio management services except pension funds,SAC 997153,18
Financial and related services,Services auxiliary to financial services (other than to insurance and pensions) ,Services related to the administration of financial markets,SAC 997155,18
Financial and related services,Services auxiliary to financial services (other than to insurance and pensions) ,"Services related to investment banking such as mergers & acquisition services, corporate finance & venture capital services",SAC 997151,18
Financial and related services,Services auxiliary to financial services (other than to insurance and pensions) ,Brokerage and related securities and commodities services including commodity exchange services,SAC 997152,18
Financial and related services,Services auxiliary to financial services (other than to insurance and pensions) ,Financial consultancy services,SAC 997156,18
Financial and related services,Reinsurance services ,Freight reinsurance services,SAC 997146,18
Financial and related services,Reinsurance services ,Other property reinsurance services,SAC 997147,18
Financial and related services,Reinsurance services ,Other non-life reinsurance services,SAC 997149,18
Financial and related services,Services auxiliary to financial services (other than to insurance and pensions) ,Financial transactions processing and clearing house services,SAC 997158,18
Financial and related services,Reinsurance services ,services,SAC 997145,5
Postal and courier services,Postal and courier services ,"Postal services including post office counter services, mail box rental services.",SAC 996811,18
Financial and related services,Reinsurance services ,"Marine, aviation and other transport reinsurance ser",SAC 997144,18
Financial and related services,Reinsurance services ,Motor vehicle reinsurance services,SAC 997143,18
Financial and related services,Reinsurance services ,Accident and health reinsurance services,SAC 997142,18
Financial and related services,Reinsurance services ,pension services,SAC 997141,18
Financial and related services,Insurance and pension services (excluding reinsurance services) ,Other non-life insurance services (excluding reinsurance services),SAC 997139,18
Financial and related services,Insurance and pension services (excluding reinsurance services) ,Other property insurance services,SAC 997137,18
Financial and related services,Insurance and pension services (excluding reinsurance services) ,Freight insurance services & Travel insurance services,SAC 997136,18
Financial and related services,Insurance and pension services (excluding reinsurance services) ,"Marine, aviation, and other transport insurance services",SAC 997135,18
Financial and related services,Insurance and pension services (excluding reinsurance services) ,Motor vehicle insurance services,SAC 997134,18
Financial and related services,Insurance and pension services (excluding reinsurance services) ,Accident and health insurance services,SAC 997133,18
Financial and related services,Insurance and pension services (excluding reinsurance services) ,Life insurance services  (excluding reinsurance services),SAC 997132,   
Financial and related services,"Financial services (except investment banking, insurance services and pension services) ",Deposit services,SAC 997112,18
Financial and related services,"Financial services (except investment banking, insurance services and pension services) ","Credit-granting services including stand-by commitment, guarantees & securities",SAC 997113,18
Financial and related services,"Financial services (except investment banking, insurance services and pension services) ",Central banking services,SAC 997111,18
Financial and related services,Insurance and pension services (excluding reinsurance services) ,pension services,SAC 997131,18
Real estate services,Real estate services on a fee/commission basis or contract basis ,Real estate appraisal services on a fee/commission basis or contract basis,SAC 997224,18
Real estate services,Real estate services on a fee/commission basis or contract basis ,Land sales on a fee/commission basis or contract basis,SAC 997223,18
Real estate services,Real estate services on a fee/commission basis or contract basis ,Property management services on a fee/commission basis or contract basis,SAC 997221,18
Real estate services,Real estate services on a fee/commission basis or contract basis ,Building sales on a fee/commission basis or contract basis,SAC 997222,18
Real estate services,Real estate services involving owned or leased property ,Trade services of time-share properties,SAC 997214,18
Real estate services,Real estate services involving owned or leased property ,Trade services of vacant and subdivided land,SAC 997215,18
Real estate services,Real estate services involving owned or leased property ,Rental or leasing services involving own or leased non-residential property,SAC 997212,18
Real estate services,Real estate services involving owned or leased property ,Trade services of buildings,SAC 997213,18
Real estate services,Real estate services involving owned or leased property ,Rental or leasing services involving own or leased residential property,SAC 997211,18
"Recreational, cultural and sporting services",Other amusement and recreational services ,Coin-operated amusement machine services,SAC 999693,18
"Recreational, cultural and sporting services",Other amusement and recreational services ,Gambling and betting services including similar online services,SAC 999692,28
"Recreational, cultural and sporting services",Other amusement and recreational services ,Amusement park and similar attraction services,SAC 999691,18
"Recreational, cultural and sporting services",Services of athletes and related support services ,Support services related to sports and recreation,SAC 999662,18
"Recreational, cultural and sporting services",Services of athletes and related support services ,Services of athletes,SAC 999661,18
"Recreational, cultural and sporting services",Sports and recreational sports services ,Other sports and recreational sports services n.e.c.,SAC 999659,18
"Recreational, cultural and sporting services",Sports and recreational sports services ,Sports and recreational sports facility operation services,SAC 999652,18
"Recreational, cultural and sporting services",Sports and recreational sports services ,Sports and recreational sports event promotion and organization services,SAC 999651,18
"Recreational, cultural and sporting services",Museum and preservation services ,"Botanical, zoological and nature reserve services",SAC 999642,18
"Recreational, cultural and sporting services",Museum and preservation services ,Museum and preservation services of historical sites and buildings,SAC 999641,18
"Recreational, cultural and sporting services",Services of performing and other artists ,"Original works of authors, composers and other artists except performing artists, painters and sculptors",SAC 999633,18
"Recreational, cultural and sporting services",Services of performing and other artists ,"Services of performing artists including actors, readers, musicians, singers, dancers, TV personalities, independent models etc",SAC 999631,18
"Recreational, cultural and sporting services",Services of performing and other artists ,"Services of authors, composers, sculptors and other artists, except performing artists",SAC 999632,18
"Recreational, cultural and sporting services",Performing arts and other live entertainment event presentation and promotion services ,Other performing arts and live entertainment services n.e.c.,SAC 999629,18
"Recreational, cultural and sporting services",Performing arts and other live entertainment event presentation and promotion services ,Performing arts facility operation services,SAC 999623,18
"Recreational, cultural and sporting services",Performing arts and other live entertainment event presentation and promotion services ,Performing arts event production and presentation services,SAC 999622,18
"Recreational, cultural and sporting services",Performing arts and other live entertainment event presentation and promotion services ,Performing arts event promotion and organization services,SAC 999621,18
"Recreational, cultural and sporting services",Audiovisual and related services ,Motion picture projection services,SAC 999615,18
"Recreational, cultural and sporting services",Audiovisual and related services ,"Motion picture, videotape, television and radio programme production services",SAC 999612,18
"Recreational, cultural and sporting services",Audiovisual and related services ,"Motion picture, videotape and television programme distribution services",SAC 999614,18
"Recreational, cultural and sporting services",Audiovisual and related services ,Audiovisual post-production services,SAC 999613,18
"Recreational, cultural and sporting services",Audiovisual and related services ,Sound recording services,SAC 999611,18
Other services,"Funeral, cremation and undertaking services ",Cemeteries and cremation services,SAC 999731,0
Other services,Beauty and physical well-being services ,Physical well-being services including health club & fitness centre,SAC 999723,18
Other services,Beauty and physical well-being services ,Other beauty treatment services n.e.c.,SAC 999729,18
Other services,Beauty and physical well-being services ,"Cosmetic treatment (including cosmetic/plastic surgery), manicuring and pedicuring services",SAC 999722,18
Other services,Beauty and physical well-being services ,Hairdressing and barbers services,SAC 999721,18
Other services,"Washing, cleaning and dyeing services ","Other washing, cleaning and dyeing services n.e.c",SAC 999719,18
Other services,"Washing, cleaning and dyeing services ",Dyeing and colouring services,SAC 999715,18
Other services,"Washing, cleaning and dyeing services ",Pressing services,SAC 999714,18
Other services,"Washing, cleaning and dyeing services ",Other textile cleaning services,SAC 999713,18
Other services,"Washing, cleaning and dyeing services ",Coin-operated laundry services,SAC 999711,18
Other services,"Washing, cleaning and dyeing services ",Dry-cleaning services (including fur product cleaning services),SAC 999712,18
