title,sub_title,description,sac_code,rate
"Maintenance, repair and installation (except construction) services","Maintenance and repair services of fabricated metal products, machinery and equipment ",Maintenance and repair services of commercial and industrial machinery.,SAC 998717,18
"Maintenance, repair and installation (except construction) services","Maintenance and repair services of fabricated metal products, machinery and equipment ",Maintenance and repair services of elevators and escalators,SAC 998718,18
"Maintenance, repair and installation (except construction) services","Maintenance and repair services of fabricated metal products, machinery and equipment ",Maintenance and repair services of telecommunication equipments and apparatus,SAC 998716,18
"Maintenance, repair and installation (except construction) services","Maintenance and repair services of fabricated metal products, machinery and equipment ",Maintenance and repair services of electrical household appliances,SAC 998715,18
"Maintenance, repair and installation (except construction) services","Maintenance and repair services of fabricated metal products, machinery and equipment ",Maintenance and repair services of transport machinery and equipment,SAC 998714,18
"Maintenance, repair and installation (except construction) services",Repair services of other goods ,Repair services of footwear and leather goods,SAC 998721,18
"Maintenance, repair and installation (except construction) services","Maintenance and repair services of fabricated metal products, machinery and equipment ",Maintenance and repair services of office and accounting machinery,SAC 998712,18
"Maintenance, repair and installation (except construction) services","Maintenance and repair services of fabricated metal products, machinery and equipment ","Maintenance and repair services of fabricated metal products, except machinery and equipment.",SAC 998711,18
Construction Services,Building completion and finishing services ,Floor and wall tiling services,SAC 995474,18
Construction Services,Building completion and finishing services ,Plastering services,SAC 995472,18
"Maintenance, repair and installation (except construction) services","Maintenance and repair services of fabricated metal products, machinery and equipment ",Maintenance and repair services of computers and peripheral equipment,SAC 998713,18
Construction Services,Installation services ,"Services involving Repair, alterations, additions, replacements, maintenance of the installations covered above.",SAC 995469,18
Construction Services,Building completion and finishing services ,Glazing services,SAC 995471,18
Construction Services,Installation services ,Other installation services n.e.c.,SAC 995468,18
Construction Services,Installation services ,Lift and escalator installation services,SAC 995466,18
Construction Services,Installation services ,Insulation services,SAC 995465,18
Construction Services,Installation services ,Gas fitting installation services,SAC 995464,18
Construction Services,Building completion and finishing services ,Painting services,SAC 995473,18
Construction Services,Installation services ,"Electrical installation services including Electrical wiring & fitting services, fire alarm installation services, burglar alarm system installation services.",SAC 995461,18
Construction Services,Special trade construction services ,"Services involving Repair, alterations, additions, replacements, maintenance of the constructions covered above.",SAC 995459,18
Construction Services,Special trade construction services ,Structural steel erection services,SAC 995455,18
Construction Services,Installation services ,"Heating, ventilation and air conditioning equipment installation services",SAC 995463,18
Construction Services,Installation services ,Water plumbing and drain laying services,SAC 995462,18
Construction Services,Special trade construction services ,Roofing and waterproofing services,SAC 995453,18
Construction Services,Special trade construction services ,Other special trade construction services n.e.c.,SAC 995458,18
Construction Services,Special trade construction services ,Scaffolding services,SAC 995457,18
Construction Services,Special trade construction services ,Masonry services,SAC 995456,18
Construction Services,Special trade construction services ,Concrete services,SAC 995454,18
Construction Services,Assembly and erection of prefabricated constructions ,"Services involving Repair, alterations, additions, replacements, maintenance of the constructions covered above.",SAC 995449,18
Construction Services,Assembly and erection of prefabricated constructions ,Other assembly and erection services n.e.c.,SAC 995444,18
Construction Services,Assembly and erection of prefabricated constructions ,"Installation, assembly and erection services of other prefabricated structures and constructions",SAC 995442,18
Construction Services,Assembly and erection of prefabricated constructions ,"Installation, assembly and erection services of prefabricated buildings",SAC 995441,18
Construction Services,Special trade construction services ,Pile driving and foundation services,SAC 995451,18
Construction Services,Special trade construction services ,Building framing & Roof Framing services,SAC 995452,18
Construction Services,Site preparation services ,"Services involving Repair, alterations, additions, replacements, maintenance of the constructions covered above.",SAC 995439,18
Construction Services,Site preparation services ,Other site preparation services n.e.c,SAC 995435,18
Construction Services,Assembly and erection of prefabricated constructions ,"Installation services of all types of street furniture (e.g., bus shelters, benches, telephone booths, public toilets, etc.)",SAC 995443,18
Construction Services,Site preparation services ,Excavating and earthmoving services,SAC 995433,18
Construction Services,Site preparation services ,Demolition services,SAC 995431,18
Construction Services,General construction services of civil engineering works ,"Services involving Repair, alterations, additions, replacements, renovation, maintenance or remodelling of the constructions covered above.",SAC 995429,18
Construction Services,General construction services of civil engineering works ,General construction services of other civil engineering works n.e.c.,SAC 995428,18
Construction Services,General construction services of civil engineering works ,General construction services of outdoor sport and recreation facilities,SAC 995427,18
Construction Services,General construction services of civil engineering works ,General Construction services of Power Plants and its related infrastructure,SAC 995426,18
Construction Services,Site preparation services ,Water well drilling services and septic system installation services,SAC 995434,18
Construction Services,General construction services of civil engineering works ,General construction services of mines and industrial plants,SAC 995425,18
Construction Services,General construction services of civil engineering works ,"General construction services of local water & sewage pipelines, electricity and communication cables & related works",SAC 995424,18
Construction Services,General construction services of civil engineering works ,"General construction services of long-distance underground/overland/submarine pipelines, communication and electric power lines (cables). pumping stations and related works. transformer stations and related works.",SAC 995423,18
Construction Services,Site preparation services ,"Site formation and clearance services including preparation services to make sites ready for subsequent construction work, test drilling & boring & core extraction, digging of trenches.",SAC 995432,18
